unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1.65146E+12,02/05/2022 04:00,BTC/GBP,30817.05,31146.36,30759.54,31045.8,13.32449,411586.4748,569
1.65146E+12,02/05/2022 03:00,BTC/GBP,30800.02,30849.38,30779.2,30810.91,7.32447,225723.1199,323
1.65146E+12,02/05/2022 02:00,BTC/GBP,30665.34,30788.17,30578.9,30757.96,8.94926,274670.6324,470
1.65145E+12,02/05/2022 01:00,BTC/GBP,30799.51,30825.95,30659.88,30676.54,6.72134,206726.8151,353
1.65145E+12,02/05/2022 00:00,BTC/GBP,30612.86,30837.17,30586.26,30773.32,16.54474,508061.0475,558
1.65145E+12,01/05/2022 23:00,BTC/GBP,30474.61,30712.1,30439.81,30599.57,13.29428,406954.8899,543
1.65144E+12,01/05/2022 22:00,BTC/GBP,30509.93,30682.5,30314.58,30493.2,19.61619,598068.0322,571
1.65144E+12,01/05/2022 21:00,BTC/GBP,30500.44,30590.21,30311.86,30495.2,12.89885,392856.8848,373
1.65144E+12,01/05/2022 20:00,BTC/GBP,30117.33,30497.49,30019.03,30497.49,12.67455,382247.987,506
1.65143E+12,01/05/2022 19:00,BTC/GBP,30223.6,30281.16,30065.17,30120.3,15.935,480482.6177,613
1.65143E+12,01/05/2022 18:00,BTC/GBP,30571.84,30593.46,30222.22,30227.24,10.45337,317741.8258,427
1.65142E+12,01/05/2022 17:00,BTC/GBP,30666.11,30744.93,30552.18,30565.87,8.70075,266615.9284,475
1.65142E+12,01/05/2022 16:00,BTC/GBP,30651.69,30811.7,30583.31,30666.08,12.50491,384032.3623,586
1.65142E+12,01/05/2022 15:00,BTC/GBP,30271.4,30780.05,30250.25,30666.04,14.59779,445296.3776,612
1.65141E+12,01/05/2022 14:00,BTC/GBP,30197.8,30292.65,30182.52,30271.41,7.26921,219796.773,548
1.65141E+12,01/05/2022 13:00,BTC/GBP,30247.99,30277.69,30191.66,30203.19,4.26529,128973.8603,476
1.65141E+12,01/05/2022 12:00,BTC/GBP,30234.05,30300.01,30159.05,30243.42,6.99525,211379.8908,703
1.6514E+12,01/05/2022 11:00,BTC/GBP,30302.31,30320.55,30191.92,30236.04,4.4713,135265.9477,382
1.6514E+12,01/05/2022 10:00,BTC/GBP,30252.73,30348.06,30233.79,30288.1,4.65809,141088.4646,441
1.6514E+12,01/05/2022 09:00,BTC/GBP,30308.55,30311.59,30165.52,30263.29,7.26627,219691.309,494
1.65139E+12,01/05/2022 08:00,BTC/GBP,30240.76,30316.27,30218.32,30298.74,6.94129,210208.2681,634
1.65139E+12,01/05/2022 07:00,BTC/GBP,30247.43,30269.76,30199.67,30248.45,6.83429,206671.0391,438
1.65138E+12,01/05/2022 06:00,BTC/GBP,30316.7,30376.41,30228.22,30241.77,6.15671,186537.0103,415
1.65138E+12,01/05/2022 05:00,BTC/GBP,30232.83,30400.68,30202.61,30304.38,10.03409,304289.7828,459
1.65138E+12,01/05/2022 04:00,BTC/GBP,30309.6,30328.31,30184.84,30235.05,8.12202,245667.0152,650
1.65137E+12,01/05/2022 03:00,BTC/GBP,30145.81,30323.88,30134.28,30289.18,6.52052,197379.0633,440
1.65137E+12,01/05/2022 02:00,BTC/GBP,30213.73,30326.83,30116.81,30140.23,4.94417,149366.6256,264
1.65137E+12,01/05/2022 01:00,BTC/GBP,30022.58,30323.36,29799.98,30226.19,9.36932,281625.1237,484
1.65136E+12,01/05/2022 00:00,BTC/GBP,30011.99,30115.66,29900,30033.02,11.21449,336522.5297,534
1.65136E+12,30/04/2022 23:00,BTC/GBP,30456.32,30492.34,29950,30011.36,25.02158,753467.0801,1032
1.65136E+12,30/04/2022 22:00,BTC/GBP,30495.83,30570.44,30421.99,30469.1,4.2977,130997.9462,293
1.65135E+12,30/04/2022 21:00,BTC/GBP,30536.03,30565.6,30478.8,30517.22,5.08713,155234.0134,315
1.65135E+12,30/04/2022 20:00,BTC/GBP,30625.59,30625.59,30492.27,30536.18,5.7506,175718.9134,399
1.65135E+12,30/04/2022 19:00,BTC/GBP,30545.31,30656.99,30506.57,30634.44,7.37074,225216.9451,530
1.65134E+12,30/04/2022 18:00,BTC/GBP,30507.28,30556.83,30428.5,30539.1,9.0875,277113.7277,514
1.65134E+12,30/04/2022 17:00,BTC/GBP,30614.81,30618.09,30448.9,30508.55,11.69266,356917.5757,626
1.65133E+12,30/04/2022 16:00,BTC/GBP,30654.15,30764.89,30600.54,30616.38,9.50988,292006.6453,654
1.65133E+12,30/04/2022 15:00,BTC/GBP,30459.15,30692.17,30404.03,30640.51,12.61613,385709.4716,666
1.65133E+12,30/04/2022 14:00,BTC/GBP,30676.58,30773.05,30438.83,30472.36,14.43247,441809.6309,658
1.65132E+12,30/04/2022 13:00,BTC/GBP,30699,30774.99,30660.51,30675.73,9.05402,278094.7453,646
1.65132E+12,30/04/2022 12:00,BTC/GBP,30730.64,30750.29,30699,30700.28,8.73064,268229.4811,610
1.65132E+12,30/04/2022 11:00,BTC/GBP,30720.01,30771.69,30710.64,30732.73,8.25898,253889.3676,596
1.65131E+12,30/04/2022 10:00,BTC/GBP,30775.76,30789.09,30720,30722.94,8.39122,258095.4646,570
1.65131E+12,30/04/2022 09:00,BTC/GBP,30736.1,30780.05,30702.1,30766.8,7.83011,240699.4665,550
1.65131E+12,30/04/2022 08:00,BTC/GBP,30793.5,30823.53,30709.99,30741.77,11.62262,357579.4249,830
1.6513E+12,30/04/2022 07:00,BTC/GBP,30838.57,30882.56,30772.77,30791,6.21156,191478.4007,437
1.6513E+12,30/04/2022 06:00,BTC/GBP,30837.39,30847.29,30780.55,30827.02,8.06308,248476.1482,557
1.65129E+12,30/04/2022 05:00,BTC/GBP,30713.43,30885.29,30684.25,30828.52,6.27169,192948.3576,514
1.65129E+12,30/04/2022 04:00,BTC/GBP,30787.97,30817.12,30676.45,30708.87,4.36888,134261.4083,352
1.65129E+12,30/04/2022 03:00,BTC/GBP,30824.45,30830.17,30739.04,30786.4,5.68666,175004.9146,409
1.65128E+12,30/04/2022 02:00,BTC/GBP,30839.1,30886.2,30795.01,30818.4,5.25073,161890.795,415
1.65128E+12,30/04/2022 01:00,BTC/GBP,30782.09,30876.98,30775.28,30828.21,4.29562,132353.5456,389
1.65128E+12,30/04/2022 00:00,BTC/GBP,30747.72,30899.05,30717.71,30768.68,8.1544,251246.2183,452
1.65127E+12,29/04/2022 23:00,BTC/GBP,30761.29,30796.11,30711.1,30752.7,3.71033,114130.2527,306
1.65127E+12,29/04/2022 22:00,BTC/GBP,30706.98,30766.54,30620,30760.75,2.17549,66818.11254,169
1.65127E+12,29/04/2022 21:00,BTC/GBP,30681.88,30773.82,30637.58,30706.79,7.73824,237795.2605,345
1.65126E+12,29/04/2022 20:00,BTC/GBP,30524.66,30701.85,30520.71,30679.64,11.70616,358558.4171,562
1.65126E+12,29/04/2022 19:00,BTC/GBP,30594.06,30694.47,30380.42,30507.73,16.30348,497693.7676,662
1.65126E+12,29/04/2022 18:00,BTC/GBP,30661.02,30687.35,30473.42,30615.97,13.51888,413310.1589,542
1.65125E+12,29/04/2022 17:00,BTC/GBP,30681.66,30759.48,30516.77,30661.51,18.1749,557437.1933,577
1.65125E+12,29/04/2022 16:00,BTC/GBP,31071.79,31093.98,30610.6,30643.86,21.99292,678424.3788,722
1.65124E+12,29/04/2022 15:00,BTC/GBP,31027.96,31172.29,30934.51,31062.22,17.21611,534609.3482,675
1.65124E+12,29/04/2022 14:00,BTC/GBP,31318.7,31322.99,30905.04,31024.6,36.81029,1143953.74,937
1.65124E+12,29/04/2022 13:00,BTC/GBP,31042.79,31405.71,30933.58,31321.62,37.73264,1175450.97,990
1.65123E+12,29/04/2022 12:00,BTC/GBP,30889.62,31219.29,30790,31042.44,36.69481,1139535.365,912
1.65123E+12,29/04/2022 11:00,BTC/GBP,30860.94,30998.18,30741.99,30888.77,17.03972,526080.3064,700
1.65123E+12,29/04/2022 10:00,BTC/GBP,31187.76,31263.24,30763.3,30871.17,27.99518,869846.1663,1014
1.65122E+12,29/04/2022 09:00,BTC/GBP,31393.09,31393.1,31130.39,31189.4,12.86213,401924.8448,695
1.65122E+12,29/04/2022 08:00,BTC/GBP,31534.88,31558.42,31391.66,31405.76,13.6476,429295.7336,772
1.65122E+12,29/04/2022 07:00,BTC/GBP,31510.28,31556.64,31466.27,31533.8,9.98723,314800.701,513
1.65121E+12,29/04/2022 06:00,BTC/GBP,31575.88,31614.1,31488.89,31500.91,15.01154,473570.3813,642
1.65121E+12,29/04/2022 05:00,BTC/GBP,31682.02,31731.75,31562.4,31578.72,10.80903,342295.632,442
1.6512E+12,29/04/2022 04:00,BTC/GBP,31691.96,31716.11,31559.52,31671.52,9.32493,295170.4461,464
1.6512E+12,29/04/2022 03:00,BTC/GBP,31704.49,31731.82,31526.04,31700.24,8.72285,276012.8028,436
1.6512E+12,29/04/2022 02:00,BTC/GBP,31874.24,31901.04,31664.19,31714.52,6.9968,222582.3032,459
1.65119E+12,29/04/2022 01:00,BTC/GBP,31920.08,31944.92,31823.38,31877.38,3.86996,123397.7111,344
1.65119E+12,29/04/2022 00:00,BTC/GBP,31904.52,31930.95,31783.05,31920.84,8.19726,261137.1368,470
1.65119E+12,28/04/2022 23:00,BTC/GBP,31945.58,31978.58,31842.14,31915,4.55872,145502.9433,383
1.65118E+12,28/04/2022 22:00,BTC/GBP,31991.6,32006.2,31808.67,31941.72,5.19935,165867.831,400
1.65118E+12,28/04/2022 21:00,BTC/GBP,31989.55,32109.34,31923.01,31981.16,6.91773,221604.1079,350
1.65118E+12,28/04/2022 20:00,BTC/GBP,32077.11,32255.08,31877.63,31994.79,15.70977,503180.3708,668
1.65117E+12,28/04/2022 19:00,BTC/GBP,32186.89,32295.89,32039.26,32086.88,14.03231,451295.5124,555
1.65117E+12,28/04/2022 18:00,BTC/GBP,32365.5,32426.58,32171.57,32187.06,15.97763,516010.9341,647
1.65117E+12,28/04/2022 17:00,BTC/GBP,32031.05,32358.06,31981.09,32358.06,15.9884,513810.0634,669
1.65116E+12,28/04/2022 16:00,BTC/GBP,31728.15,32225.91,31628.12,32017.85,21.84227,698196.3886,676
1.65116E+12,28/04/2022 15:00,BTC/GBP,31593.91,32353.35,31400.17,31738.05,42.90514,1370380.143,1205
1.65115E+12,28/04/2022 14:00,BTC/GBP,31413.73,31672.3,31301.28,31584.11,27.77421,872608.1745,966
1.65115E+12,28/04/2022 13:00,BTC/GBP,31845.32,31850.5,31400,31419.28,29.52533,934166.7702,1020
1.65115E+12,28/04/2022 12:00,BTC/GBP,31924.32,32019,31782.47,31839.48,26.78477,855233.0436,851
1.65114E+12,28/04/2022 11:00,BTC/GBP,31846.59,31926.32,31779.85,31925.91,10.08866,321403.9514,621
1.65114E+12,28/04/2022 10:00,BTC/GBP,31836.43,31855.22,31676.63,31841.39,11.85522,376789.5767,471
1.65114E+12,28/04/2022 09:00,BTC/GBP,31668.75,31836.95,31633.92,31800.14,13.61534,432222.3059,546
1.65113E+12,28/04/2022 08:00,BTC/GBP,31371.55,31730.04,31350.63,31618.3,18.91948,596714.1472,736
1.65113E+12,28/04/2022 07:00,BTC/GBP,31461.03,31564.06,31372.23,31372.23,21.83179,686624.5456,652
1.65113E+12,28/04/2022 06:00,BTC/GBP,31406.93,31491.23,31379.66,31452.92,8.89524,279720.9571,432
1.65112E+12,28/04/2022 05:00,BTC/GBP,31458.23,31496.83,31383.48,31417.99,15.84523,498166.3614,510
1.65112E+12,28/04/2022 04:00,BTC/GBP,31440.79,31468.9,31374.69,31456.15,7.63198,239821.6291,465
1.65111E+12,28/04/2022 03:00,BTC/GBP,31454.88,31558.16,31418.79,31433.24,23.30329,733613.4788,677
1.65111E+12,28/04/2022 02:00,BTC/GBP,31304.9,31500.42,31258.48,31476.79,9.24295,290205.1197,364
1.65111E+12,28/04/2022 01:00,BTC/GBP,31432.07,31630.95,31274.7,31304.9,24.18648,761603.1276,666
1.6511E+12,28/04/2022 00:00,BTC/GBP,31299.96,31480.82,31245.67,31432.7,9.77186,306157.7724,456
1.6511E+12,27/04/2022 23:00,BTC/GBP,31184.88,31357.86,31161.34,31310.36,3.49056,109164.5665,240
1.6511E+12,27/04/2022 22:00,BTC/GBP,31311.69,31335.31,31154.39,31184.48,3.65703,114212.5422,222
1.65109E+12,27/04/2022 21:00,BTC/GBP,31161.98,31405.66,31155.41,31285.09,4.72769,147731.1715,370
1.65109E+12,27/04/2022 20:00,BTC/GBP,30992.27,31316.55,30976.74,31155.4,9.00538,280717.6067,357
1.65109E+12,27/04/2022 19:00,BTC/GBP,30941.99,31052.86,30873.96,31038.26,17.27857,535057.9854,540
1.65108E+12,27/04/2022 18:00,BTC/GBP,31161.69,31228.06,30933.56,30967.26,10.98702,341716.3313,588
1.65108E+12,27/04/2022 17:00,BTC/GBP,31197.54,31227.6,31031.23,31167.56,11.78082,366730.476,607
1.65108E+12,27/04/2022 16:00,BTC/GBP,31115.52,31299.69,31048.61,31199.73,19.15211,597657.7133,677
1.65107E+12,27/04/2022 15:00,BTC/GBP,30951.82,31244.22,30925.61,31112.41,35.02391,1087720.607,850
1.65107E+12,27/04/2022 14:00,BTC/GBP,31325.33,31358.39,30697.18,30941.4,36.82328,1138824.412,879
1.65106E+12,27/04/2022 13:00,BTC/GBP,31055.5,31414.75,30945.44,31314.97,39.28209,1225164.026,1060
1.65106E+12,27/04/2022 12:00,BTC/GBP,31026.06,31134.89,30932.44,31040.78,29.3034,910014.9379,761
1.65106E+12,27/04/2022 11:00,BTC/GBP,31066.41,31073.35,30718.01,30991.62,21.63831,669221.0642,733
1.65105E+12,27/04/2022 10:00,BTC/GBP,31025.61,31107.56,30968.66,31072.41,18.73452,581275.349,595
1.65105E+12,27/04/2022 09:00,BTC/GBP,31091.29,31160.6,30944.75,31022.78,30.73221,953246.0943,844
1.65105E+12,27/04/2022 08:00,BTC/GBP,31124.72,31213.39,30885.37,31089.07,32.60849,1012743.571,875
1.65104E+12,27/04/2022 07:00,BTC/GBP,30770.12,31111.11,30762.75,31111.11,24.24359,748592.5776,631
1.65104E+12,27/04/2022 06:00,BTC/GBP,30528.08,30788.48,30516.22,30757,17.84525,546486.9462,669
1.65104E+12,27/04/2022 05:00,BTC/GBP,30563.35,30625.88,30523.77,30524.39,6.92168,211598.3198,454
1.65103E+12,27/04/2022 04:00,BTC/GBP,30513.93,30605.73,30495.9,30565.37,6.81021,208153.8063,382
1.65103E+12,27/04/2022 03:00,BTC/GBP,30566.43,30598.29,30487.87,30511.39,6.51732,199061.7004,260
1.65102E+12,27/04/2022 02:00,BTC/GBP,30487.43,30568.4,30435.8,30568.4,10.29265,313877.4227,379
1.65102E+12,27/04/2022 01:00,BTC/GBP,30387.84,30507.61,30385.19,30485.28,11.06906,337044.1312,407
1.65102E+12,27/04/2022 00:00,BTC/GBP,30336.99,30440.6,30189.3,30393.57,9.36899,284381.2511,480
1.65101E+12,26/04/2022 23:00,BTC/GBP,30435.6,30482.03,30042.88,30331.76,14.72466,445402.7264,682
1.65101E+12,26/04/2022 22:00,BTC/GBP,30524.59,30606.38,30402.63,30437.71,9.06714,276880.5085,553
1.65101E+12,26/04/2022 21:00,BTC/GBP,30359.41,30617.18,30273.58,30524.53,12.09538,368405.5046,476
